budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
0,"Action, Thriller",http://www.samuelgoldwynfilms.com/in-the-land-of-saints-and-sinners,1027073,"assassin, 1970s, village, ira (irish republican army), bombing, belfast, north ireland, violence",en,In the Land of Saints and Sinners,"In a remote Irish village, a damaged Finbar is forced to fight for redemption after a lifetime of sins, but what price is he willing to pay? In the land of saints and sinners, some sins can't be buried.",31.068,"Facing East Entertainment, Jumpy Cow Pictures, Merlin Films, Prodigal Films, Bleiberg Entertainment, Saga Film, Davis Films","BE, FR, IE, CH, US",2023-10-06,0,106,en,Released,Can you bury your past?,In the Land of Saints and Sinners,6.5,433
40000000,"Horror, Mystery",https://www.malignantmovie.net/,619778,"dreams, monster, brain tumor, detective, seattle, washington, gore, murder, vision, serial killer, hospital, miscarriage, videotape, murder mystery, sister sister relationship, psychic connection, intense, american giallo",en,Malignant,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.",25.542,"New Line Cinema, Atomic Monster, Starlight Media, My Entertainment",US,2021-09-01,34891791,111,en,Released,A new vision of terror.,Malignant,6.8,2359
19000000,"Mystery, Adventure, Crime",https://www.lionsgate.com/movies/nerve,328387,"new york city, technology, internet, hacking, game, dare, cellphone video, taking a risk, based on young adult novel",en,Nerve,"Industrious high school senior Vee Delmonico has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future.",23.533,"Lionsgate, Allison Shearmur Productions, Keep Your Head Productions, TIK Films","HK, US",2016-06-27,85241496,96,en,Released,We dare you.,Nerve,7.018,6803
17000000,"Adventure, Drama, Action, Romance",,146,"martial arts, kung fu, based on novel or book, flying, taskmaster, sword, tiger, villainess, mountain, comb, fistfight, sword fight, thief, revenge, theft, historical, female martial artist, 18th century, wuxia, warrior, aggressive, bamboo, tavern fight, action hero, qing dynasty, vibrant",zh,卧虎藏龍,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.",30.178,"Good Machine, Edko Films, Zoom Hunt, Ang Lee Productions, China Film Co-Production Corp., CP Film Production Asia, Columbia Pictures, Sony Pictures Classics","HK, TW, US, CN",2000-07-06,213978518,120,zh,Released,"A timeless story of strength, secrets and two warriors who would never surrender.","Crouching Tiger, Hidden Dragon",7.4,3246
0,"Western, Thriller, Action",https://grabify.link/H5IL0I,1216299,,en,The Night They Came Home,"The combined force of local lawmen and Indian police aim to take down the the Rufus Buck Gang, a cold-heated band of fugitives with vengeance on their minds.",24.282,Grindstone Entertainment Group,US,2024-01-12,0,105,en,Released,This is how the West was won.,The Night They Came Home,5.9,32
50000000,"Romance, Comedy",,6877,"sailboat, sports car, parent child relationship, extreme sports, sailing, romcom, young boy, dating, intervention, lying, expert, living with parents, pretend relationship, hanging out, secret, best friends, adult son, romantic, boat salesman",en,Failure to Launch,"At 35, Tripp has an interesting job, a hip car, a passion for sailing, an active dating life, and a great house - trouble is, he still lives with his parents, Al and Sue, who are not happy about it. Al and Sue are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to help. In desperation to push Tripp out of the nest once and for all, Al and Sue hatch a plan to hire Paula, an ""interventionist,"" who has a formula in these cases.",24.025,"Failure to Launch Productions, Paramount Pictures, Scott Rudin Productions",US,2006-03-10,130224158,97,en,Released,"To leave the nest, some men just need a little push.",Failure to Launch,5.8,1670
0,"Animation, Science Fiction, Action, Drama",https://gkids.com/films/end-of-evangelion,18491,"philosophy, insanity, post-apocalyptic future, futuristic, end of the world, mecha, avant-garde, meaningless existence, rebirth, anime, psychological terror, based on tv series, existential horror, alternate ending, experimental surrealism",ja,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity. An alternate ending to the television series ""Neon Genesis Evangelion"", which aired from 1995 to 1996 and whose final two episodes were controversial for their atypically abstract direction.",28.274,"GAINAX, movic, Star Child Recording, TV Tokyo, Production I.G, KADOKAWA Shoten, Toei Company, SEGA",JP,1997-07-19,20563523,87,ja,Released,The fate of destruction is also the joy of rebirth.,Neon Genesis Evangelion: The End of Evangelion,8.3,1644
0,Action,,360776,,ja,くノ一忍法帖III 秘戯伝説の怪,"The government is worried that the Emperor will have no children because he can’t get an erection. The female ninjas try to find a sacred book that will help him, but they face a stiff challenge.",42.218,,JP,1993-05-21,0,73,ja,Released,,Female Ninjas Magic Chronicles 3: Sacred Book of Sexual Positions,7.5,3
55000000,Drama,http://www.sonypictures.com/movies/sevenpounds/,11321,"sadness, vegetarian, tax collector, blind, pianist, organ transplant, blood type, sad story, admiring, surprise-ending",en,Seven Pounds,An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,21.273,"Escape Artists, Columbia Pictures, Relativity Media, Overbrook Entertainment",US,2008-12-18,168167691,123,"en, es",Released,Seven names. Seven strangers. One secret.,Seven Pounds,7.607,6819
0,"Animation, Romance, Family, Fantasy",http://movies.disney.com/cinderella-3-a-twist-in-time,16119,"magic, fairy, cartoon, prince, musical, sequel, fairy godmother",en,Cinderella III: A Twist in Time,"When Lady Tremaine steals the Fairy Godmother's wand and changes history, it's up to Cinderella to restore the timeline and reclaim her prince.",29.772,DisneyToon Studios,US,2007-02-06,0,74,en,Released,What if the slipper didn't fit?,Cinderella III: A Twist in Time,6.5,1263
